,case_number,country,area,sex,age,time,month,decade
739,2010.12.01.b,Egypt,South Sinai Peninsula,M,54,morning,12,2000
740,2010.12.01.a,Egypt,South Sinai Peninsula,M,46,morning,12,2000
741,2010.11.30.b,Egypt,South Sinai Peninsula,F,70,afternoon,11,2000
742,2010.11.30.a,Egypt,South Sinai Peninsula,F,48,afternoon,11,2000
744,2010.11.27,Australia,Western Australia,M,27,unknown,11,2000
745,2010.11.19,USA,Palmyra Atoll,M,33,afternoon,11,2000
747,2010.11.14,Indonesia,Bali,M,27,unknown,11,2000
748,2010.11.12.R,Australia,Western Australia,M,27,night,11,2000
749,2010.10.30,Australia,Western Australia,F,20,afternoon,10,2000
750,2010.10.28.R,Australia,Western Australia,M,27,unknown,10,2000
751,2010.10.28,USA,Oregon,M,27,afternoon,10,2000
753,2010.10.23.b,USA,Maine,M,30,afternoon,10,2000
754,2010.10.23.a,Australia,Western Australia,M,14,unknown,10,2000
755,2010.10.22,USA,California,M,19,morning,10,2000
756,2010.10.20,Egypt,South Sinai Peninsula,F,27,morning,10,2000
757,2010.10.09,Australia,New South Wales,M,22,afternoon,10,2000
758,2010.10.02.b,Bahamas,Exuma Islands,M,27,unknown,10,2000
759,2010.10.02.a,Bahamas,Abaco Islands,F,27,afternoon,10,2000
760,2010.10.01,South Africa,Western Cape Province,M,16,afternoon,10,2000
761,2010.09.27,USA,Oregon,M,29,afternoon,09,2000
762,2010.09.24,USA,Virginia,M,18,afternoon,09,2000
763,2010.09.21,South Africa,Western Cape Province,M,29,unknown,09,2000
764,2010.09.13,Australia,New South Wales,M,15,afternoon,09,2000
765,2010.09.07,USA,Florida,M,27,unknown,09,2000
766,2010.09.06.R,Tonga,Ha'Api,M,24,afternoon,09,2000
767,2010.09.04,USA,Florida,M,27,unknown,09,2000
768,2010.09.03.b,USA,Florida,M,24,afternoon,09,2000
769,2010.09.03.a,USA,Florida,M,24,morning,09,2000
770,2010.09.02,Solomon Islands,Western Province,M,34,unknown,09,2000
771,2010.08.29,Bahamas,Exuma Islands,M,43,unknown,08,2000
772,2010.08.18,USA,Florida,M,10,morning,08,2000
773,2010.08.17,Australia,Western Australia,M,31,morning,08,2000
774,2010.08.14,USA,California,M,45,unknown,08,2000
775,2010.08.10.b,Australia,Queensland,F,27,evening,08,2000
776,2010.08.10,South Korea,Jeju Province,F,16,afternoon,08,2000
777,2010.08.08,Australia,New South Wales,M,47,morning,08,2000
778,2010.08.07.b,USA,North Carolina,M,25,afternoon,08,2000
780,2010.08.05,USA,Florida,F,27,evening,08,2000
781,2010.08.02.b,USA,California,M,27,afternoon,08,2000
782,2010.08.02.a,USA,Florida,F,37,morning,08,2000
783,2010.07.25,USA,South Carolina,M,16,unknown,07,2000
784,2010.07.23,USA,Florida,M,20,afternoon,07,2000
785,2010.07.19,USA,South Carolina,M,10,morning,07,2000
786,2010.07.17.b,USA,North Carolina,F,13,afternoon,07,2000
787,2010.07.17.a,USA,Florida,M,55,unknown,07,2000
788,2010.07.16.b,Spain,Grand Canary Island,M,9,evening,07,2000
789,2010.07.16.a,USA,Texas,M,27,unknown,07,2000
790,2010.07.11,USA,Florida,M,27,unknown,07,2000
791,2010.07.04,South Africa,Kwazulu-Natal,F,21,unknown,07,2000
792,2010.07.03,USA,New York,M,20,afternoon,07,2000
793,2010.07.02.b,USA,California,M,19,evening,07,2000
794,2010.07.02.a,USA,California,M,48,afternoon,07,2000
795,2010.06.27,USA,Texas,M,20,unknown,06,2000
796,2010.06.25.b,USA,South Carolina,F,6,unknown,06,2000
797,2010.06.25.a,USA,North Carolina,F,13,afternoon,06,2000
798,2010.06.15,Vietnam,Binh Dinh Province,M,17,afternoon,06,2000
799,2010.06.10,USA,Florida,F,18,afternoon,06,2000
800,2010.06.06,Australia,Western Australia,M,40,afternoon,06,2000
801,2010.06.00,USA,Florida,M,20,unknown,06,2000
802,2010.05.30,USA,Florida,M,49,morning,05,2000
803,2010.05.18.c,Vietnam,Binh Dinh Province,F,58,evening,05,2000
804,2010.05.18.b,Vietnam,Binh Dinh Province,F,60,evening,05,2000
805,2010.05.18.a,Australia,New South Wales,M,27,afternoon,05,2000
806,2010.05.03,Madagascar,Antsiranana Province,M,59,morning,05,2000
807,2010.05.01,USA,Florida,F,10,morning,05,2000
808,2010.04.28,USA,Florida,M,29,afternoon,04,2000
809,2010.04.19,USA,Hawaii,M,68,afternoon,04,2000
810,2010.04.13,South Africa,Eastern Cape Province,M,35,morning,04,2000
811,2010.04.04,Egypt,Sinai Peninsula,M,24,afternoon,04,2000
812,2010.03.27,Reunion,Saint-Benoit,M,34,morning,03,2000
