,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
165,2015.07.23.b,USA,UNITED KINGDOM,False,California,"La Jolla, San Diego County",Kayak Fishing,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,Provoked
166,2015.07.23.a,AUSTRALIA,UNITED KINGDOM,False,Victoria,Tyrendarra Beach near Portland,Surfing,Left hand bitten,Unprovoked
167,2015.07.22,REUNION,FRANCE,False,,St. Leu,Surfing,Arm bitten,Unprovoked
168,2015.07.19,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Jeffrey's Bay,Surfing,No injury,Unprovoked
169,2015.07-10,USA,UNITED KINGDOM,False,California,"Huntington Beach, Orange County",Surfing,"No injury, shark bumped & damaged board",Unprovoked
170,2015.07.08,USA,UNITED KINGDOM,False,California,"Huntington Beach, Orange County",Treading water,Laceration to back,Invalid
171,2015.07.06,FRENCH POLYNESIA,FRANCE,False,Bora Bora,,Swimming,Parallel lacerations to torso inconsistent with shark bite,Invalid
172,2015.07.04.b,BAHAMAS,UNITED KINGDOM,False,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,Lacerations to lower leg & ankle,Unprovoked
173,2015.07.04.a,USA,UNITED KINGDOM,False,North Carolina,"Off Surf City, Pender County",,Lacerations to right hand & forearm,Unprovoked
174,2015.07.03,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Lennox Head,Surfing,"No injury, shark bit surfboard",Unprovoked
175,2015.07.02,AUSTRALIA,UNITED KINGDOM,False,New South Wales,East Ballina,Body boarding ,Significant injuries to lower legs,Unprovoked
176,2015.07.01,USA,UNITED KINGDOM,False,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,"Injuries to torso, hip, lower leg & hands",Unprovoked
177,2015.06.30.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Flat Rock, Yamba",Surfing,Hand bitten,Unprovoked
178,2015.06.30.a,USA,UNITED KINGDOM,False,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,Shallow lacerations & puncture to lateral left leg,Unprovoked
179,2015.06.27.b,USA,UNITED KINGDOM,False,North Carolina,"Rodanthe, Dare County",Swimming,"Injuries to right calf, buttock and both hands",Unprovoked
180,2015.06.27.a,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Buffels Bay near Knysna,Body Boarding,"Right leg severed, multiple lacerations to left leg",Unprovoked
181,2015.06.26.c,USA,UNITED KINGDOM,False,Florida,"Jacksonville Beach, Duval County",Swimming,Minor lacerations to leg,Invalid
