,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
4722,1933.11.20,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Near Boydong Cay,Free diving for trochus ,"FATAL, right buttock & thigh bitten ",Unprovoked
4723,1933.11.18,AUSTRALIA,UNITED KINGDOM,False,Queensland,Near Barrow Point,Pearl diving,"Hand badly injured, right arm surgically amputated above wrist",Unprovoked
4724,1933.10.25.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,Off Bloomfield River,Diving,Hand severed,Unprovoked
4725,1933.09.27.R,ISRAEL,UNITED KINGDOM,False,,Nabi Rubin,Fishing,"One man bitten on thigh, another on arm",Boating
4726,1933.08.28.b,USA,UNITED KINGDOM,False,California,"Hermosa Beach, Los Angeles County","Fishing, caught a 15' shark & took it onboard",Severely lacerated arm PROVOKED INCIDENT,Provoked
4727,1933.08.28.a,USA,UNITED KINGDOM,False,South Carolina,"Pawley�s Island, north of Charleston",Bathing,Right heel & ankle bitten,Unprovoked
4728,1933.08.26.R,USA,UNITED KINGDOM,False,Connecticut,Mystic River,Swimming,Foot bitten,Unprovoked
4729,1933.07.07.R,USA,UNITED KINGDOM,False,California,"San Diego, San Diego County",,Survived,Unprovoked
4730,1933.07.03,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Broome,Pearl diving,"No injury, shark tore diving suit",Unprovoked
4731,1933.06.21,USA,UNITED KINGDOM,False,South Carolina,North end of Morris Island at mouth of Charleston Harbor,Sitting in 3' of water,Right knee & left leg bitten,Unprovoked
4732,1933.06.16,USA,UNITED KINGDOM,False,South Carolina,"Folly Island, near Charleston",Standing,Left calf bitten,Unprovoked
4733,1933.06.13,AUSTRALIA,UNITED KINGDOM,False,Northern Territory,Darwin,Fishing,"No injury, ""shark chased him ashore""",Invalid
4734,1933.05.24,BARBADOS,UNITED KINGDOM,True,St Michael Parish,Off Pelican Island,Yacht of Michael Howell capsized,"5 survived  & 4 perished, but shark involvement not confirmed",Sea Disaster
4735,1933.05.23,AUSTRALIA,UNITED KINGDOM,False,Queensland,Off Stradbroke Island,Fishing,Laceration to lower leg by netted shark PROVOKED INCIDENT,Provoked
4736,1933.06.08.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,Currumbin,Treading water,Lacerations to legs from fins of shark,Unprovoked
4737,1933.05.03,CUBA,SPAIN,True,Havana Province,"Off Jaimanitas Yacht Club, Havana",Swimming to shore from capsized sailboat,FATAL,Sea Disaster
4738,1933.04.10,USA,UNITED KINGDOM,True,Florida,"Miami Beach, Miami-Dade County",Swimming,FATAL,Unprovoked
4739,1933.02.26,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Sydney,Standing on his hands,Abrasions to legs,Unprovoked
4740,1933.02.15.R,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",Diving for trochus  from dinghy when seized by shark 6' below the surface,"Injuries to arm, shoulder & chest, took 2 days to reach hospital",Unprovoked
4741,1933.02.14,AUSTRALIA,UNITED KINGDOM,False,South Australia,Adelaide,,No injury to occupants. Shark leapt into boat during sailing races,Boating
4742,1933.02.12,AUSTRALIA,UNITED KINGDOM,False,South Australia,"Port River, Adelaide",Fishing,Forearm injured by hooked shark PROVOKED INCIDENT,Provoked
4743,1933.01.04,AUSTRALIA,UNITED KINGDOM,True,Queensland,"Strand Beach, Kissing Point, Townsville",Swimming,Severe abdominal wounds FATAL (Note: 14 days earlier a dog was bitten in two by a large shark),Unprovoked
4744,1932.12.11.R,AUSTRALIA,UNITED KINGDOM,False,Northern Territory,Arnhem Land,,Leg bitten,Unprovoked
4745,1932.12.09.R,NEW ZEALAND,UNITED KINGDOM,False,North Island,Mahurangi River Mouth,Fishing ,Laceration to hand  PROVOKED INCIDENT,Provoked
4747,1932.10.31,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Redhead Beach, Newcastle",Swimming,"Torso bitten with pneumothorax, slight lacerations on left hand",Unprovoked
4748,1932.10.11,CAPE VERDE,PORTUGAL,True,Barlavento Islands,S�o Vicente ,Swimming,FATAL,Unprovoked
4749,1932.09.26.R,FIJI,UNITED KINGDOM,False,Viti Levu Island,Navua,Catching a turtle,Left arm severely bitten,Unprovoked
4750,1932.08.30.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bondi,,Hand bitten by landed shark PROVOKED INCIDENT,Provoked
4751,1932.08.30.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Newcastle,,Bitten by landed shark PROVOKED INCIDENT,Provoked
4752,1932.08.10,USA,UNITED KINGDOM,False,New Jersey,"Offshore, between Mantoloking & Point Pleasant, Ocean County",Fishing,Hooked shark gashed right leg      PROVOKED INCIDENT,Provoked
4753,1932.08.09,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,,Pearl diving,Bitten on buttock & leg,Unprovoked
4754,1932.08.06,BAHAMAS,UNITED KINGDOM,False,New Providence Island,Nassau,On expedition filming a feature movie & standing on tripod,"No injury, hooked shark rammed tripod PROVOKED INCIDENT",Provoked
4755,1932.07.14.R,USA,UNITED KINGDOM,True,Texas,Galveston,,Body recovered  from shark but death due to shark bite was not confirmed,Invalid
4756,1932.07.02,CANADA,UNITED KINGDOM,False,Bay of Fundy,16 km west of Digby Gut,"Fishing, hauling in fishing gear","No injury to occupants, shark bumped boat repeatedly",Boating
4757,1932.06.28,USA,UNITED KINGDOM,False,New Jersey,"10 miles offshore from Sea Isle City, Cape May County",Fishing,Knee bitten by boated shark PROVOKED INCIDENT,Provoked
4758,1932.06.26,USA,UNITED KINGDOM,False,New Jersey,"Off Ocean City, Cape May County",Fishing,Ankle broken when 500-lb boated shark lashed him with its tail PROVOKED INCIDENT,Provoked
4759,1932.06.20,FIJI,UNITED KINGDOM,True,Yasawa Islands,Nabukeru ,Free diving with goggles,FATAL,Unprovoked
4760,1932.05.12,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Near Warrior Reefs,Pearl diving,FATAL,Unprovoked
4761,1932.05.00,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Thursday Island,Pearl diving,Severe injury to forearm near elbow,Unprovoked
4762,1932.04.16.b,PHILIPPINES,SPAIN,True,Manila,Fort Mills,Standing,"FATAL, torso bitten ",Unprovoked
4763,1932.04.16.a,PHILIPPINES,SPAIN,True,Manila,Fort Mills,Standing,"FATAL, torso bitten ",Unprovoked
4764,1932.02.16,USA,UNITED KINGDOM,False,Hawaii,"1 mile off Mala Wharf, Lahaina, Maui",Swimming,Two 6-inch lacerations,Unprovoked
4765,1932.02.13,AUSTRALIA,UNITED KINGDOM,False,Queensland,Calliope River,Fishing with dynamite,Foot bitten,Unprovoked
4766,1932.02.08,PHILIPPINES,SPAIN,True,Manila,Fort Mills,Working near fish traps,"FATAL, died next day at 03h00",Unprovoked
4767,1932.01.27,AUSTRALIA,UNITED KINGDOM,False,Queensland,Ipswich,Swimming,Thigh bitten,Unprovoked
4769,1932.01.06,MEXICO,SPAIN,True,Baja California,Descano Point,Fishing,Hooked shark capsized rowboat & the 2 men were drowned PROVOKED INCIDENT,Provoked
4770,1932.00.00,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,"Kowie River Mouth, Port Alfred",Collecting fish by lamplight in gully,"Right shin, calf and sole of foot lacerated",Unprovoked
4771,1931.11.26,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Barrier Reef near Innisfail,Diving for trochus from lugger,Left foot acerated,Unprovoked
4772,1931.09.27,JAMAICA,UNITED KINGDOM,True,,"East Beach, Kingsston",Diving off wharf,FATAL,Unprovoked
4773,1931.09.21.b,USA,UNITED KINGDOM,False,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming,Minor injury,Unprovoked
4774,1931.09.21.a,USA,UNITED KINGDOM,False,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming ,Right thigh & calf lacerated,Unprovoked
4775,1931.09.02,USA,UNITED KINGDOM,True,Hawaii,"Kahala, O'ahu",Fishing,"Swept out to sea by strong currents, his remains found in shark caught off Barber�s Point",Invalid
4776,1931.08.31,CUBA,SPAIN,True,Havana Province,"Vedado Baths, Miramar, Havana",Swimming,FATAL  (Wire netting installed at local beaches after this incident.),Unprovoked
4777,1931.08.30,USA,UNITED KINGDOM,True,Hawaii,,,"""Mysteriously disappeared"" His body was found in a shark caught at Barber's Point on 01-Sep-1931",Invalid
4778,1931.08.27,USA,UNITED KINGDOM,False,New Jersey,"1 mile ESE of Navesink, Monmouth County",Fishing for bluefish,No injury to occupants. Shark chasing fish struck boat,Boating
4779,1931.08.25,CUBA,SPAIN,True,Havana Province,"Miramar subdivision, Havana",Swimming a quarter mile offshore,"FATAL, right leg bitten ",Unprovoked
4780,1931.08.23,CUBA,SPAIN,True,Havana Province,"Miramar, Havana",Swimming ,"FATAL, ""rescuers saw shark trying to drag him under by the leg"" ",Unprovoked
4781,1931.08.18,USA,UNITED KINGDOM,False,Texas,Off Brownsville,Swimming,Minor injury,Unprovoked
4782,1931.08.06.R,USA,UNITED KINGDOM,False,New Jersey,"Sandy Hook (ocean side), Monmouth County",Swimming,Survived,Unprovoked
4783,1931.08.01,AUSTRALIA,UNITED KINGDOM,True,Queensland,Port Douglas,Fell overboard?,FATAL,Unprovoked
4784,1931.07.28.R,FIJI,UNITED KINGDOM,False,Viti Levu Island,Tamavua River,Swimming,Multiple injuries ,Unprovoked
4785,1931.07.15,USA,UNITED KINGDOM,False,New Jersey,"Sea Girt, Monmouth County",Swimming,Nipped on leg,Unprovoked
4786,1931.06.14,USA,UNITED KINGDOM,False,Hawaii,"Pearl Harbor, O'ahu","Fishing, had just speared a ulua",Survived,Unprovoked
4787,1931.06.13,USA,UNITED KINGDOM,False,Hawaii,"Pearl Harbor, O'ahu",Gaffing & attempting to bring onboard a harpooned shark,Tip of finger amputated PROVOKED INCIDENT,Provoked
4788,1931.06.04.R,USA,UNITED KINGDOM,False,Florida,"Key West, Monroe County ",Crabbing,Lacerations to fingers,Unprovoked
4789,1931.05.02,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Kempsey,,No injury to occupants; oar & rudder bitten,Boating
4791,1931.03.22,AUSTRALIA,UNITED KINGDOM,True,Queensland,"Ross River, Townsville",Fishing with a cast net,"FATAL, left thigh severely bitten ",Unprovoked
4792,1931.03.15,TURKEY,OTHER,False,,"Bakurk�y, Istanbul",Fishing,"No injury to occupants, shark crushed boat",Boating
4793,1931.03.06,AUSTRALIA,UNITED KINGDOM,False,South Australia,Encounter Bay,"Fishing, hauling in net, shark in net","Finger lacerated, PROVOKED INCIDENT",Provoked
4794,1931.02.10,AUSTRALIA,UNITED KINGDOM,True,New South Wales,Maroubra Beach,Swimming ,Death may have been due to drowning,Invalid
4795,1931.01.24,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Near Thursday Island,,Recovered,Unprovoked
4796,1931.01.14,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,,Pearl diving,"Thigh, kneecap & lower leg badly lacerated",Unprovoked
4797,1931.01.07,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Yeppoon, near Ross Creek",Swimming,Severe bump & few superficial wounds ,Unprovoked
4798,1931.00.00.b,TONGA,UNITED KINGDOM,True,Niua ,Niuafo'ou Island ,"Swimming, carrying tin can with mail to steamer","FATAL, thereafter canoes were used to carry the mail",Unprovoked
4800,1930.12.25,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Homebush Bay, Parramatta River, Sydney",Swimming,"Bumped by shark, legs abraded",Unprovoked
4801,1930.12.13,AUSTRALIA,UNITED KINGDOM,True,New South Wales,"Sailor Bay, Middle Harbour, Sydney",Fell overboard,FATAL,Unprovoked
4802,1930.12.02,AUSTRALIA,UNITED KINGDOM,False,Victoria,Rosebud,Fishing,No injury to occupants; shark seized gunwale & tried to overturn boat,Boating
4803,1930.12.00,AUSTRALIA,UNITED KINGDOM,True,New South Wales,Parramata River,,FATAL,Unprovoked
4804,1930.11.30,AUSTRALIA,UNITED KINGDOM,False,Queensland,"St. Helena Island, Moreton Bay",Thrown into water from fishing dinghy,Laceration to leg,Unprovoked
4805,1930.09.26.R,HONDURAS,SPAIN,True,Black River,,Swimming,FATAL,Unprovoked
4806,1930.09.12.R,PORTUGAL,PORTUGAL,False,,,,"No inury to occupants, shark struck boat",Boating
4807,1930.08.31,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Geraldton,Fishing,Minor injury,Unprovoked
4808,1930.08.16,SPAIN,SPAIN,False,Canary Islands,"El Escabonal, Tenerife ",Swimming,Leg bitten,Unprovoked
4809,1930.08.06,USA,UNITED KINGDOM,False,Florida,"Palm Beach Inlet, Palm Beach County",Swimming,Lacerations to foot & ankle,Unprovoked
4810,1930.07.19,CUBA,SPAIN,False,Havana Province,"LaPlaya Beach / Vedado, Havana",Swimming,"Right arm & leg bitten, arm & leg surgically amputated ",Unprovoked
4811,1930.07.11,USA,UNITED KINGDOM,False,Florida,"Jensen Beach, Martin County",Swimming,Arm lacerated from shoulder to wrist,Unprovoked
4812,1930.06.04,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Near Mabuiag Island,,FATAL,Unprovoked
4813,1930.05.27,USA,UNITED KINGDOM,False,Texas,High Island,Swimming / floating,Lacerations to arm,Unprovoked
4814,1930.05.11.R,TURKEY,OTHER,False,,Ye?ilk�y,Fishing,No injury but shark damaged boat,Boating
4815,1930.05.11,COSTA RICA,SPAIN,True,Lim�n Province,Off Porto Limon,Air disaster,Shark involvement prior to death was not confirmed,Invalid
4816,1930.04.08,SOUTH AFRICA,UNITED KINGDOM,True,Eastern Cape Province,Bashee River,,Remains of drowning victim recovered from shark,Invalid
4817,1930.03.07.R,USA,UNITED KINGDOM,False,Florida,70 miles off Tarpon Springs,Sponge diving,No injury to diver but shark left 3 toothmarks in his helmet,Unprovoked
4818,1930.02.20,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,,Pearl diving,Arm & chest injured,Unprovoked
4819,1930.02.15,AUSTRALIA,UNITED KINGDOM,True,Victoria,"Middle Brighton, Port Phillip",Diving off pier & treading water,FATAL,Unprovoked
4820,1930.02.03.R,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Onslow,Removing shark from a trap,Laceration to thigh from trapped shark PROVOKED INCIDENT,Provoked
4821,1930.01.22,MEXICO,SPAIN,True,Veracruz,Panuco River Mouth,Fishing schooner Jose Luis foundered,remains of one of the crew found in shark,Boating
4822,1930.01.16,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,"Melkbaai, False Bay",Swimming,Torso & arm bitten,Unprovoked
4823,1930.01.00,MAURITIUS,UNITED KINGDOM,True,,Two miles from shore in Tamarind Bay,Swimming to shore after a squall  capsized their motorized shark fishing boat,Five men were said to have been killed by sharks ,Sea Disaster
4824,1930.00.00.c,JAPAN,OTHER,False,,,,Survived,Unprovoked
4825,1930.00.00.a,SOUTH AFRICA,UNITED KINGDOM,True,Eastern Cape Province,"North End Beach, Port Elizabeth",Swimming,FATAL,Unprovoked
4826,1929.12.26,AUSTRALIA,UNITED KINGDOM,True,New South Wales,"White Bay, near Bald Rock Jetty, Sydney Harbor ",Diving by wharf,"FATAL, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions  ",Unprovoked
4827,1929.12.21,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Thursday Island,Diving,Recovered at Thursday Island Hospital,Unprovoked
4828,1929.12.16,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Collaroy,Bathing or body surfing ,Superficial lacerations on right leg,Unprovoked
4829,1929.12.13,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Thursday Island,Pearl diving,Injuries to chest & arm,Unprovoked
4830,1929.12.03.R,AUSTRALIA,UNITED KINGDOM,True,Queensland,Townsville,,FATAL,Unprovoked
4831,1929.11.29,KIRIBATI,UNITED KINGDOM,True,Phoenix Islands,Nikumaroro Island,"Sea Disaster, wreck of the  SS Norwich City","11 of her crew perished, most, possibly all, deaths were due to drowning",Sea Disaster
4832,1929.11.21,CUBA,SPAIN,False,Cienfuegos Province,Cienfuegos,Fishing,"Shark attacked his boat, threatening to capsize it. He jumped overboard & shark bit his arm. He knifed & killed shark. Later his arm was surgically amputated",Unprovoked
4833,1929.10.20,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Near Badu Island,Pearl diving,Heel injured,Unprovoked
4834,1929.10.02,SPAIN,SPAIN,False,Valencia,Nasareth Beach,Fishing ,Arm injured when sharks rammed his boat,Unprovoked
4835,1929.09.01,AUSTRALIA,UNITED KINGDOM,True,Queensland,"Ross River, Townsville",Fell from wharf into water & attacked immediately,"FATAL, severe injuries to both legs ",Unprovoked
4836,1929.08.05,USA,UNITED KINGDOM,False,South Carolina,Fort Moultrie,Bathing,Left foot & ankle bitten,Unprovoked
4837,1929.07.29,MEXICO,SPAIN,False,Tamaulipas,Tampico,Swimming,Right leg severed below knee,Unprovoked
4838,1929.07.17.R,CAPE VERDE,PORTUGAL,True,Santiago Island,Tarrafal,,Body of woman recovered from shark,Invalid
4839,1929.06.23,USA,UNITED KINGDOM,False,Florida,"Fort Pierce, St Lucie County",Fishing,Leg bitten by hooked shark PROVOKED INCIDENT,Provoked
4840,1929.05.31,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,,Pearl diving,"Injuries to both legs, buttocks, back, lower abdomen & chest",Unprovoked
4841,1929.04.26.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,Great Barrier Reef,Diving for trepang,Thigh bitten,Unprovoked
4842,1929.04.17.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,Great Barrier Reef,Diving for trochus,Lacerations to right wrist,Unprovoked
4843,1929.04.11,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Bribie Passage, Caloundra",Standing in knee-deep water,Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,Provoked
4844,1929.04.09,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Badu Island,,FATAL,Unprovoked
4845,1929.04.04,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Badu Island,Swimming between boats,FATAL,Unprovoked
4846,1929.03.16,USA,UNITED KINGDOM,False,Florida,"Sea Spray, Palm Beach",Swimming,Right sole & toes lacerated,Unprovoked
4847,1929.03.12,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Near Dauan Island,Bathing,FATAL,Unprovoked
4848,1929.03.04.b,AUSTRALIA,UNITED KINGDOM,False,South Australia,Ardrossan,Launching rowboat through the surf,Foot bitten,Unprovoked
4849,1929.03.04.a,AUSTRALIA,UNITED KINGDOM,False,South Australia,Ardrossan,Launching rowboat through the surf,Legs bitten,Unprovoked
4850,1929.02.18,AUSTRALIA,UNITED KINGDOM,True,New South Wales,Maroubra Bay,Body surfing,"FATAL, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",Unprovoked
4851,1929.02.09,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Glenelg,Canoeing,"No injury, shark pushed canoe from jetty to a point 100 m away",Boating
4852,1929.02.08,AUSTRALIA,UNITED KINGDOM,True,New South Wales,Bondi,Swimming,"FATAL, right thigh bitten, femoral artery severed",Unprovoked
4853,1929.01.27,AUSTRALIA,UNITED KINGDOM,True,Queensland,"Alma Bay, Magnetic Island, Townsville",Swimming,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Unprovoked
4854,1929.01.14,NEW ZEALAND,UNITED KINGDOM,False,North Island,"Miranda Head, Hauriki Gulf",Bathing,"One was bitten on the leg, the other on the arm",Unprovoked
4855,1929.01.12,AUSTRALIA,UNITED KINGDOM,True,New South Wales,Bondi,Body surfing,"FATAL, right thigh & hip bitten",Unprovoked
4856,1929.01.06.R,TURKEY,OTHER,True,,San Stefano,Fishing boat,FATAL,Boating
4857,1929.01.05,FIJI,UNITED KINGDOM,True,Viti Levu Island,Suva Harbor,Diving for coins thrown from ship S.S. Moeraki,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Unprovoked
4858,1929.00.00.e.R,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Sydney Harbor,Swimming,"Later found to be fixtion, never happened",Invalid
4859,1929.00.00.d,AUSTRALIA,UNITED KINGDOM,False,South Australia,Ardrossan,"Wading, netting fish",Bitten below the knee,Provoked
4860,1929.00.00.c,USA,UNITED KINGDOM,False,Florida,Indian River area,Fishing,Thigh lacerated by hooked shark PROVOKED INCIDENT,Provoked
4861,1929.00.00.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Garden Island, Sydney",,Hand lacerated,Unprovoked
4862,1929.00.00.a,USA,UNITED KINGDOM,False,Florida,"Cape Canaveral, Brevard County",Hardhat diving ,"�Put hand through hatch, shark nearly bit off thumb�",Unprovoked
4863,1928.12.21,AUSTRALIA,UNITED KINGDOM,False,,,Pearl diving,Injuries to arm ,Unprovoked
4864,1928.11.18,USA,UNITED KINGDOM,False,New Jersey,"Seabright, Monmouth County",Fishing,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",Provoked
4865,1928.11.15.R,INDIA,UNITED KINGDOM,False,,,,"No injury to occupants, shark bit keel",Boating
4866,1928.11.12,USA,UNITED KINGDOM,True,Virginia,"200 miles off Hampton Roads, Virginia, USA","Sea Disaster, sinking of the  SS Vestris",FATAL,Sea Disaster
4867,1928.11.04,PANAMA,SPAIN,True,Gulf of Panama,Taboga Island Bay,Swimming,"FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee",Unprovoked
4868,1928.09.00,USA,UNITED KINGDOM,False,Texas,Corpus Christi,Fishing,Knee bitten,Unprovoked
4870,1928.07.11,AUSTRALIA,UNITED KINGDOM,False,,,Pearl diving,Injuries to chest,Unprovoked
4871,1928.07.00,ITALY,OTHER,False,Tuscany,Viareggio,Boating,"No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT",Provoked
4872,1928.06.24.R,USA,UNITED KINGDOM,False,Florida,"Daytona Beach, Volusia County",Swimming,Bitten on leg,Unprovoked
4874,1928.04.14.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",Fishing,Severe lacerations to arm,Unprovoked
4875,1928.04.14,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bondi,Treading water,Tissue of left leg stripped from knee to ankle ,Unprovoked
4876,1928.04.09,JAMAICA,UNITED KINGDOM,True,,"Coal wharf, Port Royal",Diving,FATAL,Unprovoked
4877,1928.04.06,AUSTRALIA,UNITED KINGDOM,False,Queensland,Graceville,Bathing,Lacerations to right leg ,Unprovoked
4878,1928.04.04,AUSTRALIA,UNITED KINGDOM,True,New South Wales,"Cooks Hill, Newcastle",Standing in waist-deep water,"FATAL, right hand severed, large lacerations on thigh",Unprovoked
4879,1928.03.28.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,,,Hip bitten,Unprovoked
4880,1928.02.20,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,"Near Barrow Point, Queensland",Pearl diving,FATAL,Unprovoked
4881,1928.02.00.b,COSTA RICA,SPAIN,False,Near Puntarenas,,Swimming,Right leg severely lacerated. Surgically amputated,Unprovoked
4882,1928.02.00.a,COSTA RICA,SPAIN,False,Near Puntarenas,,Swimming,Right leg & hand severely lacerated,Unprovoked
4883,1928.01.27,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Deliverance Island,Retrieving meat from a cage in the water,FATAL,Unprovoked
4884,1928.01.21.b,USA,UNITED KINGDOM,True,Florida,,Swimming,Body not recovered ,Invalid
4885,1928.01.21.a,USA,UNITED KINGDOM,True,Florida,Off Florida coast,Jumped overboard and swimming,"FATAL, presumed taken by shark/s",Invalid
4886,1928.01.02,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,"Salt Vlei, Port Alfred",,Leg lacerated,Unprovoked
4887,1928.01.00,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Kei River mouth,Body surfing,Foot bitten,Unprovoked
4888,1928.00.00,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Tugela River Mouth,Standing,"Tissue of right thigh removed to the bone, both thumbs & some fingers severed ",Unprovoked
4889,1927.12.28,SOUTH AFRICA,UNITED KINGDOM,True,Western Cape Province,Little Brak River,Swimming,"FATAL, leg bitten  ",Unprovoked
4890,1927.11.03,AUSTRALIA,UNITED KINGDOM,True,New South Wales,"Bradleys Head, Sydney ",The steamer Tahiti collided with the ferry Greycliffe,40 people perished,Sea Disaster
4891,1927.10.25,BRAZIL,PORTUGAL,True,Porto Seguro,90 miles off Albrohos Island,Italian liner Principessa Mafalda sank,"Of 1256 on board, 295 perished, some were taken by sharks",Sea Disaster
4892,1927.10.12,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Kiah Creek, Eden",Riding horseback across the creek,No injury to man or horse,Unprovoked
4893,1927.10.00,FIJI,UNITED KINGDOM,False,,a river,"Standing, collecting bananas",Leg bitten. He survived,Unprovoked
4894,1927.07.03,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bellambi Reef,,"No injury to occupants, boat was bumped & lifted 2' out of the water by the shark",Boating
4895,1927.05.29,PHILIPPINES,SPAIN,True,Luzon Island,Bondoc Peninsula,Sea disaster," 55  perished, some were  taken by sharks",Sea Disaster
4896,1927.05.09.R,AUSTRALIA,UNITED KINGDOM,True,Queensland,Off Cairns,Walking,FATAL,Unprovoked
4897,1927.04.10,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Near Thursday Island,Diving,Extensive injuries to left leg,Unprovoked
4898,1927.04.08,AUSTRALIA,UNITED KINGDOM,False,Queensland,Near Thursday Island,Pearl diving,Leg injured,Unprovoked
4899,1927.03.01,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Mereweather Beach,Body surfing / treading water,"Right buttock & thigh bitten, thumb removed",Unprovoked
4900,1927.02.14,NICARAGUA,SPAIN,False,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",Feeling the shark�s teeth,"Sharks�s jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",Provoked
4901,1927.02.09,AUSTRALIA,UNITED KINGDOM,False,Queensland,Brisbane River,Attempting to rescue drowning man,"No injury, but trouser leg shredded by shark",Unprovoked
4902,1927.02.00,NEW ZEALAND,UNITED KINGDOM,False,South Island,"Menzies Bay, Banks Peninsula, ",Fishing,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,Provoked
4903,1927.01.20,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Kidd�s Beach,Body surfing,Both thighs  lacerated,Unprovoked
4904,1927.01.08.R,USA,UNITED KINGDOM,False,California,"Catalina Channel, Los Angeles County",Swimming,Lost hand,Unprovoked
4905,1927.01.03,AUSTRALIA,UNITED KINGDOM,True,New South Wales,"Grey�s Point, Port Hacking",Swimming,"FATAL, leg bitten from thigh to ankle",Unprovoked
4906,1927.00.00.b,AUSTRALIA,UNITED KINGDOM,True,New South Wales,15 miles up the Cataract River,Swimming,"FATAL, shoulder bitten ",Unprovoked
4907,1927.00.00.a,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Thursday Island,Pearl diving,Shoulder bitten,Unprovoked
4908,1926.12.02.R,AUSTRALIA,UNITED KINGDOM,True,Torres Strait,Palm Island,Diving for trochus,FATAL,Unprovoked
4909,1926.11.17,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,Near Thursday Island,Diving,Arm injured,Unprovoked
4910,1926.10.29.R,PAPUA NEW GUINEA,OTHER,True,Central Province,Roku Point,Jumped into the water,"FATAL, abdomen bitten",Unprovoked
